unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location
66464514,2025-10-14T01:51:17.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:48.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66465967,2025-10-14T01:51:14.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11212,181 ROCKAWAY PARKWAY,ROCKAWAY PARKWAY,WINTHROP STREET,CLARKSON AVENUE,WINTHROP STREET,CLARKSON AVENUE,ADDRESS,BROOKLYN,ROCKAWAY PARKWAY,,In Progress,,,2025-10-14T01:52:08.000,17 BROOKLYN,3046330065,BROOKLYN,1006045,180586,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.66231675,-73.92144177,"
,  
(40.66231674694474, -73.92144177201318)"
66470344,2025-10-14T01:50:47.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11436,137-32 132 AVENUE,132 AVENUE,VAN WYCK EXPRESSWAY,DEAD END,VAN WYCK EXPRESSWAY,DEAD END,ADDRESS,JAMAICA,132 AVENUE,,In Progress,,,,12 QUEENS,4120750045,QUEENS,1039615,183386,PHONE,Unspecified,QUEENS,,,,,,,,40.66985583,-73.80041885,"
,  
(40.6698558316466, -73.80041885315545)"
66464521,2025-10-14T01:50:42.000,,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,10458,2980 VALENTINE AVENUE,VALENTINE AVENUE,BEDFORD PARK BOULEVARD,EAST  201 STREET,BEDFORD PARK BOULEVARD,EAST  201 STREET,ADDRESS,BRONX,VALENTINE AVENUE,,In Progress,,,2025-10-14T02:25:51.000,07 BRONX,2033030012,BRONX,1015739,256948,PHONE,Unspecified,BRONX,,,,,,,,40.87188118,-73.88614285,"
,  
(40.87188118407785, -73.88614285307307)"
66470365,2025-10-14T01:50:33.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:36.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66471764,2025-10-14T01:50:02.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11214,1869 83 STREET,83 STREET,18 AVENUE,19 AVENUE,18 AVENUE,19 AVENUE,ADDRESS,BROOKLYN,83 STREET,,In Progress,,,,11 BROOKLYN,3063150039,BROOKLYN,984421,160824,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60810108,-73.99938415,"
,  
(40.60810108364675, -73.99938414563323)"
66471769,2025-10-14T01:49:49.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:41.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66464493,2025-10-14T01:49:18.000,,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11234,2739 EAST   63 STREET,EAST   63 STREET,56 DRIVE,NATIONAL DRIVE,56 DRIVE,NATIONAL DRIVE,ADDRESS,BROOKLYN,EAST   63 STREET,,In Progress,,,,18 BROOKLYN,3085950021,BROOKLYN,1008194,160456,ONLINE,Unspecified,BROOKLYN,SUV,,,,,,,40.60705865,-73.91376732,"
,  
(40.60705865181613, -73.91376731525922)"
66464520,2025-10-14T01:49:08.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,655 EAST  230 STREET,EAST  230 STREET,CARPENTER AVENUE,LOWERRE PLACE,CARPENTER AVENUE,LOWERRE PLACE,ADDRESS,BRONX,EAST  230 STREET,,In Progress,,,2025-10-14T02:08:32.000,12 BRONX,2048330028,BRONX,1022911,264242,MOBILE,Unspecified,BRONX,,,,,,,,40.89187242,-73.86016845,"
,  
(40.89187241649303, -73.86016845296459)"
66463026,2025-10-14T01:49:01.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10463,2865 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,WEST  229 STREET,WEST  230 STREET,WEST  229 STREET,WEST  230 STREET,ADDRESS,BRONX,KINGSBRIDGE TERRACE,,In Progress,,,2025-10-14T02:01:59.000,08 BRONX,2032560156,BRONX,1011178,257830,ONLINE,Unspecified,BRONX,,,,,,,,40.87431709,-73.90263084,"
,  
(40.87431709464755, -73.90263084439134)"
